,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 35, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.643910,0.000681756,0.000009340
0.643820,0.000682012,0.000009342
0.643620,0.000682268,0.000009344
0.643280,0.000684061,0.000009356
0.643150,0.000684573,0.000009360
0.643120,0.000686366,0.000009372
0.642750,0.000686622,0.000009374
0.642540,0.000693793,0.000009422
0.642460,0.000694561,0.000009428
0.642430,0.000695330,0.000009433
0.642380,0.000727855,0.000009651
0.642330,0.000728367,0.000009654
0.642260,0.000728623,0.000009656
0.641700,0.000730160,0.000009666
0.641430,0.000732209,0.000009680
0.641350,0.000733746,0.000009690
0.641010,0.000734514,0.000009695
0.640960,0.000734770,0.000009696
0.640850,0.000768576,0.000009917
0.640110,0.000769857,0.000009925
0.639940,0.000771905,0.000009938
0.639860,0.000772162,0.000009940
0.639580,0.000772418,0.000009942
0.639520,0.000773442,0.000009948
0.639490,0.000775235,0.000009960
0.639370,0.000777028,0.000009971
0.639240,0.000778564,0.000009981
0.639100,0.000780869,0.000009996
0.639030,0.000782918,0.000010009
0.638950,0.000783430,0.000010012
0.638490,0.000785479,0.000010025
0.638410,0.000788040,0.000010041
0.638280,0.000790089,0.000010055
0.638210,0.000790345,0.000010056
0.638030,0.000790601,0.000010058
0.637830,0.000792138,0.000010068
0.637660,0.000793418,0.000010076
0.637460,0.000794187,0.000010081
0.637100,0.000794443,0.000010082
0.636910,0.000794699,0.000010084
0.636840,0.000795979,0.000010092
0.636670,0.000796236,0.000010094
0.636370,0.000796492,0.000010095
0.636350,0.000796748,0.000010097
0.636180,0.000798540,0.000010108
0.636060,0.000798797,0.000010110
0.635930,0.000807248,0.000010163
0.635560,0.000808529,0.000010171
0.635260,0.000811090,0.000010187
0.634980,0.000812114,0.000010194
0.634660,0.000814675,0.000010210
0.634310,0.000815700,0.000010216
0.634160,0.000816980,0.000010224
0.633900,0.000817236,0.000010226
0.633860,0.000819541,0.000010240
0.633400,0.000819797,0.000010242
0.633330,0.000822358,0.000010258
0.633320,0.000823383,0.000010264
0.633130,0.000825432,0.000010277
0.632980,0.000826712,0.000010285
0.632790,0.000827737,0.000010291
0.632760,0.000834139,0.000010331
0.632740,0.000834395,0.000010332
0.632710,0.000835420,0.000010339
0.632620,0.000835932,0.000010342
0.632590,0.000836700,0.000010347
0.632580,0.000838237,0.000010356
0.632510,0.000838493,0.000010358
0.632370,0.000841310,0.000010375
0.631810,0.000842591,0.000010383
0.631510,0.000842847,0.000010385
0.631470,0.000843615,0.000010389
0.631310,0.000846432,0.000010407
0.631130,0.000853347,0.000010449
0.631010,0.000853603,0.000010451
0.630930,0.000854372,0.000010455
0.630650,0.000854628,0.000010457
0.630640,0.000855908,0.000010465
0.630590,0.000858469,0.000010480
0.630550,0.000858982,0.000010483
0.630270,0.000861287,0.000010497
0.630230,0.000861799,0.000010501
0.629930,0.000862055,0.000010502
0.629850,0.000862567,0.000010505
0.629810,0.000864616,0.000010518
0.629740,0.000865897,0.000010525
0.629730,0.000866409,0.000010529
0.629560,0.000906105,0.000010767
0.629450,0.000906361,0.000010768
0.629270,0.000913020,0.000010808
0.629160,0.000913788,0.000010812
0.629150,0.000915581,0.000010823
0.628950,0.000916093,0.000010826
0.628790,0.000916606,0.000010829
0.628740,0.000919423,0.000010846
0.628660,0.000919679,0.000010847
0.628540,0.000968595,0.000011132
0.628380,0.000968851,0.000011133
0.628360,0.000969108,0.000011135
0.628050,0.000971925,0.000011151
0.627800,0.000972181,0.000011152
0.627760,0.000973205,0.000011158
0.627470,0.000976535,0.000011177
0.627380,0.000977559,0.000011183
0.627260,0.000978840,0.000011190
0.627210,0.000982169,0.000011209
0.627060,0.000983962,0.000011219
0.627000,0.000985754,0.000011230
0.626710,0.000986267,0.000011233
0.626680,0.000989340,0.000011250
0.626300,0.000991645,0.000011263
0.626220,0.000993694,0.000011275
0.626100,0.000993950,0.000011276
0.625680,0.000994206,0.000011278
0.625600,0.000994718,0.000011281
0.625520,0.000995486,0.000011285
0.625150,0.000997791,0.000011298
0.625100,0.000999584,0.000011308
0.624630,0.000999840,0.000011310
0.624610,0.001003938,0.000011333
0.624440,0.001006755,0.000011349
0.624320,0.001007267,0.000011351
0.624230,0.001007780,0.000011354
0.624200,0.001008548,0.000011359
0.624030,0.001013414,0.000011386
0.623990,0.001013926,0.000011389
0.623940,0.001014182,0.000011390
0.623540,0.001015975,0.000011400
0.623490,0.001018024,0.000011412
0.623370,0.001021353,0.000011430
0.623090,0.001069245,0.000011695
0.622830,0.001070014,0.000011699
0.622660,0.001070270,0.000011701
0.622620,0.001073343,0.000011717
0.622350,0.001073855,0.000011720
0.622340,0.001078209,0.000011744
0.622290,0.001080514,0.000011756
0.622250,0.001081794,0.000011763
0.621850,0.001082307,0.000011766
0.621710,0.001083331,0.000011772
0.621550,0.001083587,0.000011773
